All,Alle,module,Magento_AdminGws
None,Geen,module,Magento_AdminGws
"Allowed Scopes","Toegestane scopes",module,Magento_AdminGws
"You need more permissions to delete this item(s): %1.","U heeft niet de juiste rechten om dit product / deze producten te verwijderen: %1.",module,Magento_AdminGws
"You need more permissions to apply some of the rule updates.","U heeft niet de juiste rechten om een aantal van de regel updates uit te voeren.",module,Magento_AdminGws
"Please assign this entity to a store view.","Wijs deze entiteit aan een winkelweergave toe.",module,Magento_AdminGws
"You can create orders only in an active store.","Orders kunnen alleen worden aangemaakt in een actieve winkel.",module,Magento_AdminGws
"Please assign this item to a store view.","Wijs dit product aan een winkelweergave toe.",module,Magento_AdminGws
"You need more permissions to save this item.","U heeft niet de juiste rechten om dit product op te slaan.",module,Magento_AdminGws
"You need more permissions to delete this item.","U heeft niet de juiste rechten om dit product te verwijderen.",module,Magento_AdminGws
"You need more permissions to view this item.","U heeft niet de juiste rechten om dit product te bekijken.",module,Magento_AdminGws
"Please specify at least one website or one store group.","Geef tenminste één website of één winkel groep op.",module,Magento_AdminGws
"You need more permissions to set All Scopes to a Role.","U heeft niet de juiste rechten om Alle Scopes aan een Rol toe te voegen.",module,Magento_AdminGws
"Incorrect website ID: %1","Onjuiste website ID: %1",module,Magento_AdminGws
"You need more permissions to access website ""%1"".","U heeft meer rechten nodig voor toegang tot de website ""%1"".",module,Magento_AdminGws
"Incorrect store ID: %1","Incorrect winkel ID: %1",module,Magento_AdminGws
"You need more permissions to save this setting.","U heeft meer rechten nodig voor het opslaan van deze instelling.",module,Magento_AdminGws
"Role Scopes","Rol scopes",module,Magento_AdminGws
Custom,Aangepast,module,Magento_AdminGws
"Read Details","Lees details",module,Magento_AdminNotification
"Mark as Read","Markeren als gelezen",module,Magento_AdminNotification
"Are you sure?","Weet u het zeker?",module,Magento_AdminNotification
Remove,Verwijder,module,Magento_AdminNotification
"Messages Inbox",Berichteninbox,module,Magento_AdminNotification
"You have %1 new system messages","U heeft %1 nieuwe systeemberichten",module,Magento_AdminNotification
"You have %1 new system message","U heeft %1 nieuw systeembericht",module,Magento_AdminNotification
"Incoming Message","Inkomend bericht",module,Magento_AdminNotification
close,Sluiten,module,Magento_AdminNotification
Notifications,Meldingen,module,Magento_AdminNotification
"The message has been marked as Read.","Het bericht is gemarkeerd als gelezen.",module,Magento_AdminNotification
"We couldn't mark the notification as Read because of an error.","Het bericht kan niet als gelezen gemarkeerd worden door een fout.",module,Magento_AdminNotification
"Please select messages.","Selecteer de meldingen.",module,Magento_AdminNotification
"A total of %1 record(s) have been marked as Read.","%1 bericht(en) zijn gemarkeerd als gelezen.",module,Magento_AdminNotification
"Total of %1 record(s) have been removed.","%1 bericht(en) zijn verwijderd.",module,Magento_AdminNotification
"We couldn't remove the messages because of an error.","Het bericht kan niet verwijderd worden door een fout.",module,Magento_AdminNotification
"The message has been removed.","De notificatie is verwijderd",module,Magento_AdminNotification
"1 Hour","1 uur",module,Magento_AdminNotification
"2 Hours","2 uur",module,Magento_AdminNotification
"6 Hours","6 uur",module,Magento_AdminNotification
"12 Hours","12 uur",module,Magento_AdminNotification
"24 Hours","24 uur",module,Magento_AdminNotification
critical,kritisch,module,Magento_AdminNotification
major,belangrijk,module,Magento_AdminNotification
minor,gering,module,Magento_AdminNotification
notice,melding,module,Magento_AdminNotification
"Wrong message type","Verkeerde bericht-type",module,Magento_AdminNotification
"Wrong notification ID specified.","Verkeerde melding ID opgegeven.",module,Magento_AdminNotification
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} wordt niet geadviseerd in een productie omgeving om de Onveilige Basis URL mee te definiëren. Het wordt aangeraden om deze waarde in uw Magento <a href=""%1"">configuratie</a> aan te passen.",module,Magento_AdminNotification
"One or more of the Cache Types are invalidated: %1.","Één of meerdere cache types zijn geïnvalideerd: %1.",module,Magento_AdminNotification
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Ga naar <a href=""%1"">Cache Beheer</a> om de cache types te verversen.",module,Magento_AdminNotification
"We were unable to synchronize one or more media files. Please refer to the log file for details.","We waren niet in staat om een of meer mediabestanden te synchroniseren. Gelieve het logboekbestand bekijken voor meer informatie.",module,Magento_AdminNotification
"Synchronization of media storages has been completed.","Synchronisatie van media opslagplaatsen is voltooid.",module,Magento_AdminNotification
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Uw webserver is niet goed geconfigureerd. Hierdoor kan ongeoorloofde toegang tot gevoelige bestanden plaats vinden. Neem contact op met uw serviceprovider.",module,Magento_AdminNotification
"System Messages:",Systeemberichten:,module,Magento_AdminNotification
"Critical System Messages","Kritische Systeemberichten",module,Magento_AdminNotification
"Major System Messages","Belangrijke Systeemberichten",module,Magento_AdminNotification
"System messages",Systeemberichten,module,Magento_AdminNotification
Close,Sluiten,module,Magento_AdminNotification
"See All (","Alles bekijken (",module,Magento_AdminNotification
unread),ongelezen),module,Magento_AdminNotification
"Show Toolbar","Werkbalk weergeven",module,Magento_AdminNotification
"Show List","Toon lijst",module,Magento_AdminNotification
"Use HTTPS to Get Feed","Gebruik HTTPS om de feed op te halen",module,Magento_AdminNotification
"Update Frequency",Update-frequentie,module,Magento_AdminNotification
"Last Update","Laatste wijziging",module,Magento_AdminNotification
Severity,Ernst,module,Magento_AdminNotification
"Date Added","Datum toegevoegd",module,Magento_AdminNotification
Message,Bericht,module,Magento_AdminNotification
Actions,Acties,module,Magento_AdminNotification
"Manage Shopping Cart","Beheer winkelwagen",module,Magento_AdvancedCheckout
"Create Order","Bestelling aanmaken",module,Magento_AdvancedCheckout
Back,Terug,module,Magento_AdvancedCheckout
"Add Products","Voeg producten toe",module,Magento_AdvancedCheckout
"Update Items and Quantities","Producten en aantallen bijwerken",module,Magento_AdvancedCheckout
"Are you sure you want to clear your cart?","Weet u zeker dat u uw winkelwagen wilt wissen?",module,Magento_AdvancedCheckout
"Clear my shopping cart","Winkelwagen leegmaken",module,Magento_AdvancedCheckout
"Add selections to my cart","Selectie toevoegen aan winkelwagen",module,Magento_AdvancedCheckout
Cancel,Annuleer,module,Magento_AdvancedCheckout
"Shopping Cart for %1 in %2","Winkelwagen voor %1 in %2",module,Magento_AdvancedCheckout
"Select products you want to buy","Selecteer het product dat u wilt kopen",module,Magento_AdvancedCheckout
Product,Product,module,Magento_AdvancedCheckout
Price,Prijs,module,Magento_AdvancedCheckout
Quantity,Hoeveelheid,module,Magento_AdvancedCheckout
"Products in the Comparison List (%1)","Producten in de Vergelijkingslijst (%1)",module,Magento_AdvancedCheckout
"Last ordered items (%1)","Laatst bestelde producten (%1)",module,Magento_AdvancedCheckout
Products,Producten,module,Magento_AdvancedCheckout
ID,ID,module,Magento_AdvancedCheckout
