"Now Shopping by","Huidige filters"
Previous,Vorige
Remove,Verwijder
"Remove This Item","Verwijder dit artikel"
"Shop By",Filteren
"Clear All","Alles wissen"
"Shopping Options","Selectie verfijnen"
"Welcome to %store_name","Welkom bij %store_name"
"Welcome to %store_name.","Welkom op %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Om in te loggen op onze website, gebruik deze gegevens tijdens het betalen of op de <a href=""%customer_url"">Uw Account</a> pagina:"
Email:,E-mail:
Password:,Wachtwoord:
"Password you set when creating account","Opgegeven wachtwoord tijdens aanmaken van account"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Wachtwoord vergeten? Klik <a href=""%reset_url"">hier</a> om het opnieuw in te stellen."
"When you sign in to your account, you will be able to:","Wanneer u inlogt op uw account kunt u:"
"Quick Checkout","Snelle betaling"
"Proceed through checkout faster","Sneller betalen"
"Order Status","Bestelling Status"
"Check the status of orders","Orderstatus controleren"
"Manage Addresses","Beheer adressen"
"Store alternative addresses","Alternatieve adressen opslaan"
"For shipping to multiple family members and friends","Voor verzending naar meerdere familieleden en vrienden"
"Order History",Bestelgeschiedenis
"View past orders","Orderhistorie bekijken"
Footer,onderschrift
"<a href=%url_about_us>About Us</a>","<a href=%url_about_us>Over ons</a>"
"<a href=url_customer_service>Customer Service</a>","<a href=url_customer_service>Klantenservice</a>"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Openingsuren:<br /><span class=""no-link"">%store_hours</span>."
"Credit memo for your %store_name order","Creditfactuur voor uw %store_name bestelling"
"Thank you for your order from %store_name.","Bedankt voor uw bestelling bij %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","U kunt de status van uw bestelling controleren door in te <a href=""%account_url"">loggen op uw account</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Indien u vragen heeft over uw bestelling kunt u ons e-mailen op <a href=""mailto:%store_email"">%store_email</a>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","Uw creditfactuur #%creditmemo_id voor bestelling #%order_id"
"Billing Info",Factuuradres
"Shipping Info",Verzendinformatie
"Payment Method",Betaalmethode
"Shipping Method",Bezorgmethode
"Update to your %store_name credit memo","Update van uw %store_name creditfactuur"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Uw bestelling #%increment_id werd geupdate met volgende status <strong>%order_status</strong>."
"Invoice for your %store_name order","Factuur voor uw %store_name bestelling"
"Your Invoice #%invoice_id for Order #%order_id","Uw factuur #%invoice_id voor bestelling #%order_id"
"Update to your %store_name invoice","Update van uw %store_name factuur"
"Your %store_name order confirmation","Uw %store_name bestelbevestiging"
"Once your package ships we will send you a tracking number.","Zodra we uw pakket verzenden, sturen wij u een Track- en Tracenummer."
"Your Order <span class=""no-link"">#%increment_id</span>","Uw bestelling <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Geplaatst op <span class=""no-link"">%created_at</span>"
"Update to your %store_name order","Update van uw %store_name bestelling"
"Your %store_name order has shipped","Uw %store_name bestelling is verzonden"
"Your shipping confirmation is below. Thank you again for your business.","Hieronder kunt u uw verzendbevestiging vinden."
"Your Shipment #%shipment_id for Order #%order_id","Uw verzending #%shipment_id voor bestelling #%order_id"
"Update to your %store_name shipment","Update van uw %store_name verzending"
"Account Dashboard",Accountoverzicht
"Address Book",Adresboek
"Account Information","Account Gegevens"
"About Us","Over ons"
"Customer Service",Klantenservice
"My Account",Account
Summary,Samenvatting
Settings,Instellingen
"The search failed because of a search engine misconfiguration.","De zoekactie is mislukt vanwege een onjuiste Search Engine configuratie."
"Elasticsearch Index Prefix","Elasticsearch Index voorvoegsel"
"Enable Elasticsearch HTTP Auth","Elasticsearch HTTP Auth inschakelen"
"Elasticsearch HTTP Username","Elasticsearch HTTP gebruikersnaam"
"Elasticsearch HTTP Password","Elasticsearch HTTP wachtwoord"
"Test Connection","Test Verbinding"
"Are you sure you want to delete this gift registry?","Weet u zeker dat u deze verlanglijst wilt verwijderen?"
"Delete Registry","Verwijder register"
"Gift Registry Entity","Verlanglijst entiteit"
SKU,Art.nr.
Price,prijs
Quantity,Aantal
Total,Totaal
"Add to Gift Registry","Voeg toe aan verlanglijst"
"Are you sure you want to add these products?","Weet u zeker dat u deze producten wilt toevoegen?"
"Update Items and Quantities","Producten en aantallen bijwerken"
Requested,Verlangd
Fulfilled,Voltooid
Note,Opmerking
Action,Actie
"Update Quantity","Aantal bijwerken"
"Remove Item","Product verwijderen"
"Sharing Information","Informatie delen"
Emails,E-mails
"Send From","Verzenden van"
Message,Bericht
"Share Gift Registry","Aanmelden Cadeau Delen"
"Gift Registry",Verlanglijst
Event,Gebeurtenis
Registrants,Registranten
"Event Date","Gebeurtenis datum"
"Total Items","Totaal items"
Remaining,Resterend
Public,Publiek
No,Nee
Yes,Ja
"Gift Registry Types","Cadeaurekening types"
"Add Gift Registry Type","Voeg verlanglijst-type toe"
Save,Opslaan
"If you delete this gift registry type, you also delete customer registries that use this type. Do you want to continue?","Indien u dit verlanglijst-type verwijderd, worden ook alle klantregisters verwijderd die dit type gebruiken. Wilt u doorgaan?"
Delete,Verwijder
"Save and Continue Edit",Toepassen
"Edit '%1' Gift Registry Type","Editeer '%1' cadeaubon rekening type"
"New Gift Registry Type","Nieuwe Cadeauregistratie Soort"
"Add Attribute","Attribuut toevoegen"
"Delete Attribute","Verwijder attribuut"
"Use Default Value","Gebruik standaard waarde"
Short,Kort
Medium,Gemiddeld
Long,Lang
Full,Vol
"Add New Option","Optie toevoegen"
"Delete Option","Verwijder optie"
"General Information","Algemene informatie"
Code,"Interne naam"
Label,label
"Sort Order",Sorteervolgorde
"Is Listed","Is Genoteerd"
Attributes,Attributen
[GLOBAL],[GLOBAAL]
"[STORE VIEW]",[WINKELAANZICHT]
None,Geen
"New Address","Nieuw Adres"
"Edit Gift Registry","Bewerk verlanglijst"
"Create Gift Registry","Creëer verlanglijst"
State/Province,Staat/Provincie
"Please select a region, state or province","Selecteer regio, staat of provincie"
"Please Select",Selecteer
"View Gift Registry %1","Bekijk mijn verlanglijst %1"
"Share '%1' Gift Registry","Deel '%1' mijn verlanglijst"
"-- Please select --","-- Selecteer --"
From,Van
To,Aan
"Gift Registry Search","verlanglijst zoekfunctie"
"Select Search Type","Kies zoektype"
Registrant,Registreerder
"Registry owner","Aanmelding eigenaar"
"Please correct the  gift registry ID.","Corrigeer de verlanglijst register-ID."
"Please correct the gift registry entity.","Corrigeer de verlanglijst geheel."
"Shopping cart items have been added to gift registry.","Producten in Winkelwagen zijn toegevoegd aan Cadeau Registratie."
"Virtual, Downloadable, and virtual Gift Card products cannot be added to gift registries.","Virtueel te downloaden en virtuele cadeaukaart-producten kunnen niet worden toegevoegd aan verlanglijsts."
"We can't add shopping cart items to the gift registry right now.","Wij kunnen geen winkelwagen items toevoegen aan uw verlanglijst."
"You deleted this gift registry entity.","U verwijderd dit verlanglijst register geheel."
"We couldn't delete this gift registry entity.","Wij kunnen deze verlanglijst niet geheel verwijderen."
Customers,Klanten
"Edit '%1' Gift Registry","Bewerk '%1' verlanglijst"
"Something went wrong while editing the gift registry.","Er ging iets fout tijdens het delen van de verlanglijst."
"Please enter at least one email address.","Geef tenminste één e-mailadres."
"%1 email(s) were sent.","%1 email(s) zijn verzonden."
"We couldn't send '%1 of %2 emails.","We konden  '%1 van %2 e-mails niet verzenden ."
"You updated this gift registry.","U heeft de verlanglijst bijgewerkt."
"We can't update these gift registry items right now.","We kunnen deze producten van de verlanglijst op dit moment niet updaten."
"You deleted the gift registry type.","U heeft verwijderd de verlanglijst register type."
"We couldn't delete this gift registry type.","Wij kunnen dit verlanglijst register type niet verwijderen."
"Edit Type","Bewerk type"
"New Type","Nieuw type"
"You saved the gift registry type.","U heeft dit verlanglijst register type opgeslagen."
"We can't save this gift registry type right now.","Wij kunnen deze verlanglijst register type nu niet opslaan."
"Page not found.","Pagina niet gevonden."
"Please correct the gift registry ID.","Corrigeer de verlanglijst register-ID."
"%1 item(s) have been added to the gift registry.","%1 product(en) heeft u toegevoegd aan het cadeauregister."
"We have nothing to add to this gift registry.","Wij kunnen niets aan deze verlanglijst toevoegen."
"You can't add virtual products, digital products or gift cards to gift registries.","Je kunt geen virtuele producten, digitale producten of kadokaarten toevoegen aan de verlanglijst."
"You deleted this gift registry.","U heeft verwijderd deze verlanglijst registratie."
"Something went wrong while deleting the gift registry.","Er ging iets fout tijdens het delen van de verlanglijst."
"Please correct the gift registry.","Corrigeer de verlanglijst registratie."
"Incorrect Type","Onjuist Type"
"Please correct the registrant data.","Corrigeer de registreerder gegevens."
"Address is empty.","Adres is leeg"
"Please select an address.","Selecteer een adres."
"Please correct the address.","Corrigeer het adres."
"You saved this gift registry.","U heeft deze cadeaulijst opgeslagen."
"We couldn't save this gift registry.","We konden de cadeaulijst niet opslaan."
"Gift Registry Items","items op verlanglijst"
"Something went wrong while sending email(s).","Er ging iets mis tijdens het verzenden van email(s)."
"Something went wrong while sharing the gift registry.","Er ging iets mis tijdens het delen van de verlanglijst."
"You updated the gift registry items.","U heeft de product op de verlanglijst bijgewerkt."
"We couldn't update the gift registry.","We konden de verlanglijst niet bijwerken."
"The wish list item has been added to this gift registry.","Het product is toegevoegd aan deze verlanglijst."
"We couldn’t add your wish list items to your gift registry.","We konden uw verlanglijst producten niet aan uw verlanglijst toevoegen."
"Please enter correct search options.","Voer de juiste zoekopties in."
"Please enter at least 2 letters of the first name.","Voer ten minste 2 letter van de voornaam in."
"Please enter at least 2 letters of the last name.","Voer ten minste 2 letters van de achternaam in."
"Please enter a valid email address.","Vul een geldig e-mailadres in."
"Please enter a gift registry ID.","Voer een verlanglijst ID in."
"Please enter the quantity of items to add to cart.","Geef het aantal toe te voegen artikelen aan de winkelwagen in."
"We can't add this item to your shopping cart right now.","We kunnen dit product nu niet aan uw winkelwagen toevoegen."
"Gift Registry Info",verlanglijst-informatie
"Please enter the ""%1"".","Vul alstublieft de ""%1"" in."
"Please enter the correct ""%1"".","Voer de juiste ""%1"" in."
"Custom Types","Aangepaste types"
"Static Types","Statische Types"
"Product has required options.","Product heeft vereiste opties."
"You need to enter sender data.","Afzender gegevens zijn verplicht."
"Please add invitees.","Voeg aub genodigden toe."
"You cannot send emails to more than %1 recipients at once","U kunt geen e-mails naar meer dan %1 geadresseerden tegelijk verzenden"
"Please enter a valid invitee email address.","Voer een geldig email adres van de genodigde in."
"Please enter an invitee name.","Voer een naam in voor de genodigde."
"You shared the gift registry for %1 emails.","U deelde de verlanglijst voor %1 e-mailadressen."
"We couldn't share the registry.","We konden het register niet delen."
Private,Privé
Inactive,Inactief
Active,Actief
"Please enter the title.","Voer aub de titel in."
"Please enter the message.","Voer aub het bericht in."
"Please enter correct the Privacy setting.","Voer de correcte privacyinstelling in."
"We cannot specify the product.","We kunnen het product niet specifiëren."
"Please correct the  gift registry item quantity.","Corrigeer het geschenk register product aantal."
"Please correct the gift registry item ID.","Corrigeer het geschenk register product ID."
"The quantity of ""%1"" product added to cart exceeds the quantity desired by the Gift Registry owner. The quantity added has been adjusted to meet remaining quantity %2.","Het toegevoegde aantal van ""%1"" product aan het winkelmandje overschrijdt het gewenste aantal van de eigenaar van de verlanglijst. Het toegevoegde aantal is aangepast om aan het aantal %2 te voldoen."
"Existing quantity of ""%1"" product in the cart has been replaced with quantity %2 just requested.","Bestaand aantal van ""%1"" product in uw mandje werd vervangen door het aantal %2 dat u net opvroeg."
"This product(s) is out of stock.","Dit product is niet op voorraad."
"Please correct the product for adding the item to the quote.","Corrigeer het product om het item toe te voegen aan de quote."
"Please correct the item option format.","Corrigeer het product optie formaat."
"An item option with code %1 already exists.","Een product optie met code %1 bestaad reeds."
New,Nieuw
"Please enter the first name.","Vul alstublieft de voornaam in."
"Please enter the last name.","Vul alstublieft de achternaam in."
"Please enter a valid email address(for example, daniel@x.com).","Voer een geldig e-mailadres in (bijvoorbeeld daniel@x.com)."
"Ship to the recipient's address.","Verzenden naar het adres van de geadresseerde."
"-- All --","-- Alles --"
"Unknown gift registry identifier","Onbekend verlanglijst ID"
"All Forms","Alle formulieren"
"Registrant Name Search","Registreerder Naam Zoeken"
"Registrant Email Search","Registreerder Email Zoeken"
"Gift Registry ID Search","Verlanglijst-ID zoeken"
Type,Soort
Owner,Eigenaar
"Created on","Aangemaakt Op"
"Shipping Address",Bezorgadres
"Shopping Cart Items","Producten in winkelwagen"
"New Attribute","Nieuw attribuut"
"Input Type",Invoertype
"Attribute Group",Atributengroep
"Is Required","Is Vereist"
"Is Searcheable","Is te Zoeken"
"We found an attribute with this static input type already in the gift registry type. Please select a different input type.","We vonden een attribuut dat reeds bestaat in de verlanglijst-type met een statisch invoer type. Selecteer een ander invoer type."
"Show Region","Toon Regio"
"Date Format","Formaat datum"
"Is Default","Is standaard"
"Select a shipping address from your address book or enter a new address.","Selecteer een verzendadres vanuit uw adresboek of geef een nieuw e-mailadres in"
Company,Bedrijf
Address,Adres
"Street Address",Adres
"Street Address %1","Adresregel %1"
City,Plaatsnaam
"Please select a region, state or province.","Selecteer regio, staat of provincie."
"Zip/Postal Code",Postcode
Country,Land
"Phone Number",Telefoonnummer
"Add All To Gift Registry","Voeg allemaal toe aan verlanglijst"
"Ship to registrant's address","Verzenden naar het adres van de registreerder"
"Use the gift registry shipping address","Gebruik verzendadres van de verlanglijst"
"Added On","Toegevoegd op"
Qty,Aantal
"Qty Fulfilled","Aantal Geleverd"
"Update Gift Registry","Update verlanglijst"
Back,Terug
"This gift registry has no items.","Deze verlanglijst heeft geen producten."
"Created On","Aangemaakt Op"
"Manage Items","Beheer Items"
Share,Delen
Edit,Bewerken
"You haven't created a gift registry yet.","U heeft nog geen verlanglijst aangemaakt."
"Add New","Voeg nieuwe toe"
"First Name",Voornaam
Name,Naam
Email,E-mail
"* Required Fields","* Verplichte velden"
Sender,Afzender
Invitee,genodigde
"Maximum %1 email addresses.","Maximale %1 e-mailadressen."
"Add Invitee","Genodigde toevoegen"
"Gift Registry Type",Verlanglijst-type
"Please select a gift registry type.","Selecteer een verlanglijst-type."
Next,Volgende
"Last Name",Achternaam
"Registrant Information","Registrant informatie"
"Maximum %1 registrants.","Maximaal %1 registranten."
"Add Registrant","Registrant toevoegen"
Type:,Soort:
"Privacy Settings","Privacy Instellingen"
Status,status
"Gift Registry Items Updated","items op verlanglijst geüpdate"
"Product Name","Product Naam"
"Requested Quantity","Gewenst aantal"
"Fulfilled Quantity","Voltooid aantal"
"Total Fulfilled Quantity","Totaal voltooide kwantiteit"
"Remaining Quantity","Resterend aantal"
Quantity:,Aantal:
"Customize and Add to Gift Registry","Bewerk en voeg toe aan verlanglijst"
"This won't take long . . .","Dit duurt maar even . . ."
"Required Fields","Verplichte velden"
"Search Options",Zoekopties
"For better search results, first choose a gift registry type. By default, we search all registry types.","Voor betere zoekresultaten, kies eerst een verlanglijst-type. Standaard doorzoeken we alle verlanglijst-types."
"Type Specific Options","Type gespecificeerde opties"
Search,Zoek
"Registrant Email","Registreerder E-mail"
"Gift Registry ID",Verlanglijst-ID
"Search Results",Zoekresultaten
Location,Plaats
Actions,Acties
View,Bekijk
"Your search returned no results.","Uw zoekopdracht heeft geen resultaten opgeleverd."
"Please enter at least two letters of the name.","Voer ten minste twee letters van de naam in."
"Search By","Zoeken op"
"Please enter at least two letters.","Voer ten minste 2 letters in."
"Unit Price",Stukprijs
"Add to Cart","In Winkelwagen"
"Gift Registry created at %store_name","Verlanglijst aangemaakt op %store_name"
"You have successfully created the new gift registry ""%registry_name"".","U heeft een nieuwe verlanglijst ""%registry_name"" aangemaakt."
"Your Gift Registry Message","Uw verlanglijst bericht"
"Now you can add products to your gift registry.","U kan nu producten toevoegen aan uw verlanglijst."
"Simply browse to <a href=""%store_url"">%store_name</a> and add the products you want to your shopping cart or wish list.","Navigeer naar <a href=""%store_url"">%store_name</a> en voeg de producten toe aan uw winkelwagen of verlanglijst."
"You can then add the products to your registry from your shopping cart or wish list page.","U kan vervolgens de producten van uw winkelwagen of verlanglijst toevoegen aan de lijst."
"You can also share it with your friends and family by logging into your account and visiting the Gift Registry tab.","U kan het ook delen met uw vrienden en familie door in te loggen op uw account en vervolgens te klikken op de verlanglijst tab."
"Or you can email the following link and gift registry ID to them:","Of u kan de volgende link en verlanglijst ID naar hen e-mailen:"
"Registry Location:",Registerlocatie:
"Registry ID:","Register ID:"
"Gift Registry shared at %store_name","Verlanglijst gedeeld op %store_name"
"You can view and purchase items from this gift registry at <a href='%account_url'>%store_name</a>.","U kan de producten van deze verlanglijst bekijken en kopen op <a href=""%account_url"">%store_name</a>."
"Gift Registry:",Verlanglijst:
"Created For:","Gemaakt voor:"
"You can create your own gift registry on <a href='%account_url'>%store_name</a> and share it with friends and family.","U kan uw eigen verlanglijst aanmaken op <a href=""%account_url"">%store_name</a> en het delen met vrienden en familie."
"Gift Registry updated at %store_name","Verlanglijst bijgewerkt op %store_name"
"The following items have been purchased from your gift registry ""%registry_name"":","De volgende producten van uw verlanglijst ""%registry_name"" zijn gekocht:"
"You can sign in to your account to view more details about this gift registry.","U kan inloggen op uw account om meer details over deze verlanglijst te bekijken."
"Ship to Recipient Address","Verzend naar adres van geadresseerde"
"Ship Here","Hier naartoe verzenden"
"Recipient Address","Adres van geadresseerde"
"Use gift registry shipping address","Gebruik verzendadres van verlanglijst"
"The only place to change the number of gift registry items is on the Gift Registry Info page or directly in your cart.","De enige plaats om het aantal verlanglijst producten aan te passen is op de verlanglijst info pagina of rechtstreeks in uw winkelwagen."
Text,Tekst
"Gift Registry Details",Cadeauregisterdetails
Role,Rol
"Event Data",Gebeurtenisgegevens
"Event Information","Gebeurtenis informatie"
"Event Country","Gebeurtenis land"
"My event special","Speciale gebeurtenissen"
"My special attribute","Mijn speciale kenmerk"
"Gift Registry Section",Cadeauregistersectie
"General Options","Algemene Opties"
"Enable Gift Registry","zet verlanglijst aan"
"Maximum Registrants","Maximale registranten"
"Owner Notification",Eigenaarsnotificatie
"Email Template","E-mail template"
"Email Sender","Afzender E-mail"
"Gift Registry Sharing","verlanglijst delen"
"Maximum Sent Emails Threshold","Drempel maximaal aantal verzonden emails"
"Gift Registry Update","verlanglijst updaten"
Select,Selecteer
Date,Datum
"Event Region Id","Gebeurtenis regio ID"
"Event Region Text","Gebeurtenis regio tekst"
"Event Location","Gebeurtenis locatie"
"Gift Registry Quick Search Form","verlanglijst snel zoekformulier"
"Quick Search Form Types","Formuliertypes snel zoeken"
"Default Template","Standaard template"
Listed,Vermeld
"You can view and purchase items from this gift registry at <a href=""%account_url"">%store_name</a>.","U kan de producten van deze geschenkenlijst bekijken en kopen op <a href=""%account_url"">%store_name</a>."
"You can create your own gift registry on <a href=""%account_url"">%store_name</a> and share it with friends and family.","U kan uw eigen geschenkenlijst aanmaken op <a href=""%account_url"">%store_name</a> en het delent met vrienden en familie."
"some name","een naam"
"The gift registry ID is incorrect. Verify the ID and try again.","Het verlanglijst ID is onjuist. Controleer het ID en probeer het opnieuw."
"The gift registry entity is incorrect. Verify the entity and try again.","Verlanglijst entiteit is onjuist. Controleer en probeer opnieuw."
"At least one email address is needed. Enter an email address and try again.","Er is minimaal één e-mailadres nodig. Voer een e-mailadres in en probeer het opnieuw."
"The type is incorrect. Verify and try again.","Het type is incorrect. Controleer en probeer het opnieuw."
"The registrant data is incorrect. Verify and try again.","De registrantgegevens zijn onjuist. Controleer en probeer het opnieuw."
"The address can't be empty. Enter and try again.","Het adres mag niet leeg zijn. Voer een adres in en probeer het opnieuw."
"An address needs to be selected. Select and try again.","Een adres moet worden geselecteerd. Selecteer en probeer opnieuw."
"The address is incorrect. Verify and try again.","Het adres is incorrect. Controleer en probeer het opnieuw."
"The gift registry item quantity is incorrect. Verify the item quantity and try again.","Het aantal voor het verlanglijst artikel is onjuist. Controleer het aantal en probeer opnieuw."
"The gift registry item ID is incorrect. Verify the gift registry item ID and try again.","Het verlanglijst artikel ID is onjuist. Controleer het verlanglijst artikel ID en probeer opnieuw."
"Payment Type",Betalingstype
"Transaction Type",Transactietype
"Transaction ID",Transactie-ID
"CVV Verification","CVV verificatie"
"Address Verification","Adres verificatie"
"Email Verification","E-mail verificatie"
"Mobile Verification",06-Verificatie
"Phone Verification","Verificatie via telefoon"
"Card number",Kaartnummer
"Expiration Date",Vervaldatum
"Response Code",Responscode
"Fraud Message","Bericht van fraude"
"Approve Message","Bericht goedkeuren"
"Sorry, but something went wrong","Er ging iets mis"
"Wrong response type","Verkeerd antwoord type"
"Transaction has been declined. Please try again later.","Transactie is afgewezen. Probeer het later nog eens."
"Authorize Only","Alleen toestemming verlenen"
"Authorize and Capture","Autoriseren en vastleggen"
"Credit Card Type","Kredietkaart type"
"Credit Card Number",Kredietkaartnummer
"Card Verification Number",Verificatienummer
Enabled,Ingeschakeld
"Connection Type",Verbindingstype
Title,Titel
"Live API Key","Live API-sleutel"
"Live API Password","Live API wachtwoord"
"Live Client-side Encryption Key","Live Client-side coderingssleutel"
"Sandbox API Key",Sandbox-API-sleutel
"Sandbox API Password","Sandbox-API wachtwoord"
"Sandbox Client-side Encryption Key","Sandbox Client-side coderingssleutel"
"Payment Action",Betaling
Debug,"Fouten opsporen"
"Credit Card Types","Kredietkaart types"
"Payment from Applicable Countries","Betaling van toepasselijke landen"
"Payment from Specific Countries","Betaling van Specifieke Landen"
"Transaction has been declined, please, try again later.","Transactie is afgewezen, let, probeer het later opnieuw."
"Switch/Solo/Maestro Only","Uitsluitend Switch/Solo/Maestro"
"Issue Number",Uitgiftenummer
"Start Date",begindatum
"The response type is incorrect. Verify the type and try again.","Het type reactie is incorrect. Controleer het type en probeer het opnieuw."
"Condition type ""%1"" is not allowed","Voorwaarde type ""%1"" is niet toegestaan"
"The configuration parameter ""formElement"" is a required for ""%1"" field.","De configuratieparameter ""formElement"" is een vereiste voor ""%1"" veld."
"Remove %1","Verwijder %1"
"Add New %1","Voeg nieuw %1 toe"
"New %1","Nieuwe %1"
"Please select item(s).","Selecteer item(s)."
"Invalid XML in file %1:\n%2","Ongeldige XML in bestand %1:\n%2"
"Unsupported bookmark action.","Niet-ondersteunde bladwijzer actie."
"UI component could not be rendered because of system exception","UI-component kan niet worden weergegeven vanwege systeem uitzondering"
"Parameter ""class"" must be present.","Parameter ""class"" moet aanwezig zijn."
"Parameter ""sortOrder"" must be present.","Met de parameter ""sortOrder"" moet aanwezig zijn."
"Invalid UI Component element name: '%1'","Ongeldige UI Component element naam: '%1'"
"Bookmark with id ""%1"" does not exist.","Bladwijzer met id ""%1"" bestaat niet."
"Invalid UI Component element name: ''","Ongeldige UI Component element naam: '%1'"
Cancel,Annuleer
"Changes have been made to this section that have not been saved.","Wijzigingen, die in deze sectie zijn gemaakt, zijn nog niet opgeslagen."
"This tab contains invalid data. Please resolve this before saving.","Dit tabblad bevat ongeldige gegevens; deze moeten voor het opslaan gecorrigeerd worden."
Assign,Toewijzen
Options,Opties
"records found","records gevonden"
selected,geselecteerd
of,van
Add,Toevoegen
"Something went wrong.","Er is iets fout gegaan."
Done,Gereed
options,opties
Select...,Selecteer...
Selected,Geselecteerd
"Select All","Alles selecteren"
"Deselect All","Alles deselecteren"
"Select All on This Page","Selecteer alles op deze pagina"
"Deselect All on This Page","Deselecteer alles op deze pagina"
On,Aan
Off,Uit
"Go to Details Page","Ga naar de detailpagina"
"New View","Nieuwe weergave"
"Default View",Standaardweergave
"${ $.visible } out of ${ $.total } visible","${ $.visible } uit ${ $.total } zichtbaar"
"You have successfully saved your edits.","Uw bewerkingen zijn opgeslagen."
"There are {placeholder} messages requires your attention.","Er zijn {placeholder} berichten die uw aandacht vereisen."
from,van
to,naar
